-------------------------------------------------------------------------------
		   "Numerical Analysis Algorithms in C" v4.2
-------------------------------------------------------------------------------

NAA v4.2 Sample Output

Nonlinear Finite-Difference - Algorithm 11.4B

Uses Richardson's Extrapolation for O(h^6) accuracy.

y'' = f(x,y,y') = (32.0 + 2.0*x*x*x - y*y')/8.0
fy  = ëf(x,y,y')/ëy = -y'/8.0
fy' = ëf(x,y,y')/ëy' = -y/8.0
y   = x*x + 16.0/x

Maximum number of iterations: 25
Tolerance = 1e-005
Solving for points on interval [1,3].
Boundry condition y(1) = à = 17
Boundry condition y(3) = á = 14.3333
Number of subintervals N = 19
Interval number h = 0.1

 x	 w(h)		 w(h/2)		 w(h/4)		 Ext1		 Ext2		 Ext3
-------------------------------------------------------------------------------------------------------
 1.00	 17.000000000	 17.000000000	 17.000000000	 17.000000000	 17.000000000	 17.000000000
 1.10	 15.754502535	 15.755217205	 15.755395252	 15.755455429	 15.755454601	 15.755454545
 1.20	 14.771739654	 14.772936006	 14.773234070	 14.773334791	 14.773333424	 14.773333333
 1.30	 13.995677437	 13.997189955	 13.997566805	 13.997694128	 13.997692421	 13.997692307
 1.40	 13.386296562	 13.388004238	 13.388429726	 13.388573463	 13.388571555	 13.388571428
 1.50	 12.914252413	 12.916064709	 12.916516277	 12.916668808	 12.916666800	 12.916666666
 1.60	 12.557538228	 12.559386183	 12.559846647	 12.560002168	 12.560000135	 12.560000000
 1.70	 12.299326282	 12.301156700	 12.301612804	 12.301766839	 12.301764839	 12.301764706
 1.80	 12.126528867	 12.128300422	 12.128741868	 12.128890940	 12.128889017	 12.128888889
 1.90	 12.028813810	 12.030494377	 12.030913158	 12.031054566	 12.031052752	 12.031052631
 2.00	 11.997915422	 11.999480197	 11.999870133	 12.000001789	 12.000000112	 12.000000000
 2.10	 12.027142371	 12.028572525	 12.028928921	 12.029049242	 12.029047720	 12.029047619
 2.20	 12.111019804	 12.112301488	 12.112620894	 12.112728716	 12.112727363	 12.112727272
 2.30	 12.245024867	 12.246148461	 12.246428478	 12.246522993	 12.246521817	 12.246521739
 2.40	 12.425388363	 12.426347885	 12.426587021	 12.426667726	 12.426666733	 12.426666666
 2.50	 12.648944030	 12.649736656	 12.649934204	 12.650000864	 12.650000054	 12.650000000
 2.60	 12.913012623	 12.913638276	 12.913794216	 12.913846827	 12.913846196	 12.913846154
 2.70	 13.215311755	 13.215772749	 13.215887654	 13.215926414	 13.215925956	 13.215925926
 2.80	 13.553885080	 13.554185790	 13.554260748	 13.554286026	 13.554285734	 13.554285714
 2.90	 13.927046118	 13.927192676	 13.927229210	 13.927241528	 13.927241389	 13.927241379
 3.00	 14.333333333	 14.333333333	 14.333333333	 14.333333333	 14.333333333	 14.333333333

Solution took 12 iterations for desired tolerance.
