-------------------------------------------------------------------------------
		   "Numerical Analysis Algorithms in C" v4.2
-------------------------------------------------------------------------------

NAA v4.2 Sample Output

Bisection Method (or Binary-Search Method) - Algorithm 2.1

f(x) = x^3 + 4x^2 - 10

Maximum number of iterations: 25
Tolerance: 0.0001
Endpoint a = 1
Endpoint b = 2

 n	 a		 b		 p		 f(p)
-----------------------------------------------------------------------
 1	 1.000000000	 2.000000000	 1.500000000	 2.375000000
 2	 1.000000000	 1.500000000	 1.250000000	-1.796875000
 3	 1.250000000	 1.500000000	 1.375000000	 0.162109375
 4	 1.250000000	 1.375000000	 1.312500000	-0.848388672
 5	 1.312500000	 1.375000000	 1.343750000	-0.350982666
 6	 1.343750000	 1.375000000	 1.359375000	-0.096408844
 7	 1.359375000	 1.375000000	 1.367187500	 0.032355785
 8	 1.359375000	 1.367187500	 1.363281250	-0.032149971
 9	 1.363281250	 1.367187500	 1.365234375	 0.000072025
 10	 1.363281250	 1.365234375	 1.364257813	-0.016046691
 11	 1.364257813	 1.365234375	 1.364746094	-0.007989263
 12	 1.364746094	 1.365234375	 1.364990234	-0.003959102
 13	 1.364990234	 1.365234375	 1.365112305	-0.001943659
 14	 1.365112305	 1.365234375	 1.365173340	-0.000935847
