-------------------------------------------------------------------------------
		   "Numerical Analysis Algorithms in C" v4.2
-------------------------------------------------------------------------------

NAA v4.2 Sample Output

Nonlinear Finite-Difference - Algorithm 11.4

y'' = f(x,y,y') = (32.0 + 2.0*x*x*x - y*y')/8.0
fy  = ëf(x,y,y')/ëy = -y'/8.0
fy' = ëf(x,y,y')/ëy' = -y/8.0
y   = x*x + 16.0/x

Maximum number of iterations: 25
Tolerance = 1e-005
Solving for points on interval [1,3].
Boundry condition y(1) = à = 17
Boundry condition y(3) = á = 14.3333
Number of subintervals N = 19
Interval number h = 0.1

 x	 w		 y(x)		|w1 - y(x)|
---------------------------------------------------
 1.00	 17.000000000	 17.000000000	 0.00E+000
 1.10	 15.754502535	 15.755454545	 9.52E-004
 1.20	 14.771739654	 14.773333333	 1.59E-003
 1.30	 13.995677437	 13.997692308	 2.01E-003
 1.40	 13.386296562	 13.388571429	 2.27E-003
 1.50	 12.914252413	 12.916666667	 2.41E-003
 1.60	 12.557538228	 12.560000000	 2.46E-003
 1.70	 12.299326282	 12.301764706	 2.44E-003
 1.80	 12.126528867	 12.128888889	 2.36E-003
 1.90	 12.028813810	 12.031052632	 2.24E-003
 2.00	 11.997915422	 12.000000000	 2.08E-003
 2.10	 12.027142371	 12.029047619	 1.91E-003
 2.20	 12.111019804	 12.112727273	 1.71E-003
 2.30	 12.245024867	 12.246521739	 1.50E-003
 2.40	 12.425388363	 12.426666667	 1.28E-003
 2.50	 12.648944030	 12.650000000	 1.06E-003
 2.60	 12.913012623	 12.913846154	 8.34E-004
 2.70	 13.215311755	 13.215925926	 6.14E-004
 2.80	 13.553885080	 13.554285714	 4.01E-004
 2.90	 13.927046118	 13.927241379	 1.95E-004
 3.00	 14.333333333	 14.333333333	 0.00E+000

Solution took 4 iterations for requested tolerance.
